rid,org_id,sex,age,tenure_yr,TI_TOT,WE_TOT,LS_TOT,CM_TOT,q_open,answer,dominant_topic_true
R0013,ORG02,2,32,8.0,4.0,3.0,4.2,2.25,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,없음,업무량·소진
R0014,ORG02,2,31,4.8,2.333,3.917,4.6,3.75,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,경력경로 승진 자기계발 비전 관련해서 만족스러운 편입니다. 협업 코칭 팀장 상사 부분에서 개선이 필요합니다.,경력·성장
R0015,ORG02,1,36,3.9,4.667,3.5,4.6,4.375,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,온라인 콘텐츠 문제가 반복되고 있습니다. 휴식 피로 과중 문제가 반복되고 있습니다.,교육·학습
R0016,ORG02,1,39,5.9,3.667,3.083,2.6,3.75,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,보상·처우
R0017,ORG02,1,27,5.2,3.0,3.167,4.6,3.375,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"현재 차원에서 볼 때, 과정 교육비 때문에 고민이 많습니다. 승급 만족 연봉 관련해서 만족스러운 편입니다.",교육·학습
R0018,ORG03,1,30,1.6,3.333,3.75,2.4,4.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,상사 소통 존중 관계에 대한 지원이 부족합니다.,리더십·관계
R0019,ORG03,2,30,5.6,4.0,2.833,2.6,3.312,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,스트레스 피로 과중 때문에 고민이 많습니다. 공정 수당 처우 승급 관련해서 만족스러운 편입니다. 강의 교육비 학습이(가) 가장 큰 문제라고 생각합니다.,업무량·소진
R0020,ORG03,1,24,4.3,2.667,3.833,2.8,3.312,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,과정 연수 강의 교육비 문제가 반복되고 있습니다.,교육·학습
R0021,ORG03,2,26,1.5,3.0,4.0,3.0,3.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,부담 야근이(가) 가장 큰 문제라고 생각합니다.,업무량·소진
R0022,ORG03,2,39,3.4,2.667,3.167,3.6,2.875,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,피드백 신뢰 코칭에 대한 지원이 부족합니다.,리더십·관계
R0023,ORG03,1,38,1.0,3.333,3.25,2.5,3.062,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,여유 일정에 대한 지원이 부족합니다.,업무량·소진
R0024,ORG03,1,29,3.8,3.333,3.083,3.4,3.125,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,회사가 휴식 워라밸 스트레스 야근에 더 신경 써 주면 좋겠습니다. 인센티브 복지 관련해서 만족스러운 편입니다. 분위기 소통 상사 동료 때문에 고민이 많습니다.,업무량·소진
R0025,ORG03,1,36,4.0,4.333,3.25,3.6,2.812,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,비전 커리어 장기적에 대한 지원이 부족합니다.,경력·성장
R0026,ORG03,1,36,2.5,5.0,3.083,2.4,1.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"생각 차원에서 볼 때, 자격증 교육비 연수 학습 관련해서 만족스러운 편입니다.",교육·학습
R0027,ORG03,1,37,0.9,1.667,4.25,4.4,3.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,역량개발 전문성 승진 직무전환 문제가 반복되고 있습니다. 교육비 실습 연수 측면은 잘 되어 있다고 봅니다.,경력·성장
R0028,ORG03,2,40,1.1,3.0,3.167,4.4,2.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,평가 보상 문제가 반복되고 있습니다. 자기계발 역량개발 경력 부분에서 개선이 필요합니다.,보상·처우
R0030,ORG04,1,27,0.5,3.0,2.583,3.2,2.562,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"직원 차원에서 볼 때, 피드백 코칭 신뢰에 대한 지원이 부족합니다. 실습 스터디 학습 연수에 대한 지원이 부족합니다. 임금 승급 형평성 보상 문제가 반복되고 있습니다.",리더십·관계
R0031,ORG04,2,26,5.8,5.0,2.25,3.4,2.875,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,보상 수당 측면은 잘 되어 있다고 봅니다. 콘텐츠 연수 학습시간이(가) 가장 큰 문제라고 생각합니다. 번아웃 과중 스트레스 휴식이(가) 가장 큰 문제라고 생각합니다.,보상·처우
R0032,ORG04,2,34,1.1,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,장기적 경력경로 직무전환 관련해서 만족스러운 편입니다. 휴식 피로에 대한 지원이 부족합니다. 인센티브 복지 만족 처우 때문에 고민이 많습니다.,경력·성장
R0033,ORG04,2,27,1.7,3.667,2.75,2.4,3.312,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"구성원 차원에서 볼 때, 비전 자기계발 성장이(가) 가장 큰 문제라고 생각합니다. 회사가 실습 스터디 연수 콘텐츠에 더 신경 써 주면 좋겠습니다.",경력·성장
R0034,ORG04,2,37,0.4,2.667,2.917,2.6,3.062,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"직원 차원에서 볼 때, 비전 커리어 경력 때문에 고민이 많습니다. 동료 피드백에 대한 지원이 부족합니다.",경력·성장
R0035,ORG04,2,29,3.6,3.333,4.417,2.4,3.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,커리어 성장에 대한 지원이 부족합니다. 협업 리더 때문에 고민이 많습니다.,경력·성장
R0037,ORG04,2,26,7.1,3.333,2.917,3.2,3.333,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"직원 차원에서 볼 때, 피드백 동료 코칭에 대한 지원이 부족합니다. 만족 형평성 때문에 고민이 많습니다.",리더십·관계
R0038,ORG04,2,40,2.9,2.333,3.917,3.4,3.467,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,커리어 역량개발 전문성이(가) 가장 큰 문제라고 생각합니다.,경력·성장
R0039,ORG04,1,33,4.2,4.0,3.667,3.6,2.75,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"회사 차원에서 볼 때, 인력부족 번아웃 야근 일정 측면은 잘 되어 있다고 봅니다.",업무량·소진
R0040,ORG04,1,30,1.2,4.0,3.25,2.0,2.688,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,임금 형평성 만족 복지 부분에서 개선이 필요합니다. 부담 여유 업무량 일정 문제가 반복되고 있습니다.,보상·처우
R0041,ORG04,1,28,1.6,3.667,2.167,3.4,2.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"조직 차원에서 볼 때, 미래 경력 측면은 잘 되어 있다고 봅니다. 스터디 온라인이(가) 가장 큰 문제라고 생각합니다.",경력·성장
R0042,ORG04,2,35,2.5,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,연수 강의 실습 부분에서 개선이 필요합니다. 휴식 여유 야근 인력부족 때문에 고민이 많습니다.,교육·학습
R0043,ORG04,1,29,0.3,3.333,2.545,2.6,3.438,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,없음,보상·처우
R0044,ORG04,2,39,9.5,4.0,4.25,1.8,2.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,회사가 인력부족 휴식 번아웃에 더 신경 써 주면 좋겠습니다. 온라인 강의이(가) 가장 큰 문제라고 생각합니다.,업무량·소진
R0045,ORG05,2,36,1.5,4.333,3.0,2.6,3.188,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"부서 차원에서 볼 때, 처우 인센티브 수당 때문에 고민이 많습니다. 여유 번아웃 관련해서 만족스러운 편입니다. 교육비 연수 관련해서 만족스러운 편입니다.",보상·처우
R0046,ORG05,1,20,1.5,5.0,3.75,4.0,2.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"필요 차원에서 볼 때, 코칭 소통 팀장 리더이(가) 가장 큰 문제라고 생각합니다. 회사가 만족 평가 형평성에 더 신경 써 주면 좋겠습니다.",리더십·관계
R0047,ORG05,1,38,8.5,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,관계 코칭 동료 존중에 대한 지원이 부족합니다.,리더십·관계
R0048,ORG05,2,31,3.9,3.333,3.364,2.8,3.812,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,회사가 팀장 존중에 더 신경 써 주면 좋겠습니다. 일정 워라밸 여유 야근 문제가 반복되고 있습니다. 자격증 실습에 대한 지원이 부족합니다.,리더십·관계
R0049,ORG05,1,26,3.7,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,과중 야근 측면은 잘 되어 있다고 봅니다. 콘텐츠 과정 교육비 학습시간 문제가 반복되고 있습니다.,업무량·소진
R0050,ORG05,1,28,0.5,3.0,2.182,2.8,3.188,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"회사 차원에서 볼 때, 인센티브 수당에 대한 지원이 부족합니다. 교육 실습 온라인 교육비에 대한 지원이 부족합니다. 스트레스 워라밸 인력부족 부담 때문에 고민이 많습니다.",보상·처우
R0051,ORG05,2,30,4.7,4.667,3.0,3.2,3.062,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"생각 차원에서 볼 때, 인센티브 만족 보상 측면은 잘 되어 있다고 봅니다. 업무량 부담 일정 부분에서 개선이 필요합니다.",보상·처우
R0052,ORG05,1,32,2.4,4.333,2.667,2.8,3.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,온라인 자격증 강의 부분에서 개선이 필요합니다. 회사가 승급 복지 수당에 더 신경 써 주면 좋겠습니다.,교육·학습
R0053,ORG05,2,30,7.1,3.333,3.083,3.2,3.562,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"직원 차원에서 볼 때, 인력부족 피로 스트레스 때문에 고민이 많습니다. 직무전환 경력 측면은 잘 되어 있다고 봅니다.",업무량·소진
R0054,ORG05,2,24,9.5,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,없음,교육·학습
R0055,ORG05,1,27,2.9,4.0,1.75,1.8,3.125,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,처우 인센티브 측면은 잘 되어 있다고 봅니다. 업무량 부담 여유 워라밸이(가) 가장 큰 문제라고 생각합니다. 회사가 관계 팀장에 더 신경 써 주면 좋겠습니다.,보상·처우
R0056,ORG05,1,24,1.8,4.667,2.833,3.0,3.312,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,휴식 업무량 야근에 대한 지원이 부족합니다. 형평성 임금 보상 처우 측면은 잘 되어 있다고 봅니다.,업무량·소진
R0057,ORG05,1,30,2.8,3.667,2.333,2.2,2.812,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,경력·성장
R0058,ORG05,2,34,3.3,4.0,2.667,3.0,2.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,회사가 실습 강의 학습시간에 더 신경 써 주면 좋겠습니다. 인력부족 일정이(가) 가장 큰 문제라고 생각합니다.,교육·학습
R0059,ORG06,1,32,4.7,3.667,2.667,3.2,2.438,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,업무량 일정 스트레스 부분에서 개선이 필요합니다. 임금 만족 공정 수당이(가) 가장 큰 문제라고 생각합니다.,업무량·소진
R0060,ORG06,2,28,2.8,2.667,2.333,2.0,2.875,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,보상·처우
R0061,ORG06,1,35,4.8,5.0,3.091,1.2,2.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,교육비 학습 관련해서 만족스러운 편입니다. 과중 일정이(가) 가장 큰 문제라고 생각합니다.,교육·학습
R0062,ORG06,2,26,2.4,4.0,2.417,2.0,2.5,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,보상·처우
R0063,ORG06,2,23,1.3,3.333,2.5,2.8,4.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,평가 처우 형평성 인센티브 때문에 고민이 많습니다. 커리어 비전 경력 관련해서 만족스러운 편입니다.,보상·처우
R0064,ORG06,2,31,1.2,5.0,3.167,4.0,3.125,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,부담 휴식 야근에 대한 지원이 부족합니다. 처우 공정 평가 보상 측면은 잘 되어 있다고 봅니다. 학습시간 연수 강의 실습 부분에서 개선이 필요합니다.,업무량·소진
R0065,ORG06,2,33,2.4,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"생각 차원에서 볼 때, 스터디 콘텐츠 교육비 관련해서 만족스러운 편입니다. 보상 공정 임금 연봉이(가) 가장 큰 문제라고 생각합니다.",교육·학습
R0066,ORG06,2,21,3.8,4.333,3.333,2.8,3.75,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,업무량·소진
R0067,ORG06,1,36,3.9,3.667,3.583,2.4,4.062,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,없음,경력·성장
R0068,ORG07,1,29,0.6,3.0,2.167,2.4,3.062,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,업무량·소진
R0069,ORG07,2,26,5.5,4.0,2.667,4.2,3.812,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,전문성 성장 커리어 경력경로에 대한 지원이 부족합니다. 콘텐츠 온라인 강의 과정이(가) 가장 큰 문제라고 생각합니다.,경력·성장
R0070,ORG07,1,36,7.4,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,야근 업무량 과중 일정 때문에 고민이 많습니다. 분위기 상사 코칭 신뢰 측면은 잘 되어 있다고 봅니다.,업무량·소진
R0071,ORG07,2,30,2.5,3.0,3.083,2.6,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"우리 차원에서 볼 때, 부담 야근 워라밸 부분에서 개선이 필요합니다.",업무량·소진
R0072,ORG07,2,27,2.5,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,코칭 팀장 동료 소통이(가) 가장 큰 문제라고 생각합니다. 학습시간 교육비 콘텐츠 연수이(가) 가장 큰 문제라고 생각합니다.,리더십·관계
R0073,ORG07,1,40,1.1,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"요즘 차원에서 볼 때, 공정 승급이(가) 가장 큰 문제라고 생각합니다. 전문성 비전이(가) 가장 큰 문제라고 생각합니다.",보상·처우
R0074,ORG07,1,33,2.8,2.333,4.333,3.6,3.812,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,미래 경력 비전 문제가 반복되고 있습니다. 연수 자격증 강의 과정 관련해서 만족스러운 편입니다.,경력·성장
R0075,ORG07,2,27,8.2,4.0,4.75,3.6,3.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,보상·처우
R0077,ORG08,1,31,1.9,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"필요 차원에서 볼 때, 온라인 자격증 교육 때문에 고민이 많습니다. 경력 직무전환 미래 관련해서 만족스러운 편입니다.",교육·학습
R0078,ORG08,1,30,4.8,2.333,3.583,2.6,3.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"필요 차원에서 볼 때, 존중 신뢰 소통 상사 때문에 고민이 많습니다. 학습 학습시간 강의 측면은 잘 되어 있다고 봅니다. 스트레스 여유 워라밸 때문에 고민이 많습니다.",리더십·관계
R0080,ORG08,2,27,4.3,3.667,1.833,2.4,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,관계 피드백 코칭 소통 문제가 반복되고 있습니다. 피로 야근 여유 인력부족 측면은 잘 되어 있다고 봅니다.,리더십·관계
R0081,ORG08,2,32,0.7,2.333,1.417,1.6,2.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,없음,리더십·관계
R0082,ORG09,1,32,6.5,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"조직 차원에서 볼 때, 분위기 상사 동료 팀장 때문에 고민이 많습니다.",리더십·관계
R0083,ORG09,2,35,5.1,3.0,3.167,4.0,3.688,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"요즘 차원에서 볼 때, 연수 과정 교육 실습 관련해서 만족스러운 편입니다.",교육·학습
R0084,ORG09,1,34,5.0,4.0,4.0,4.0,4.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,없음,보상·처우
R0085,ORG09,1,31,2.5,4.333,3.75,4.4,2.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,없음,보상·처우
R0086,ORG09,1,43,1.3,1.667,4.083,3.6,4.125,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,미래 직무전환 문제가 반복되고 있습니다. 상사 신뢰 소통 동료에 대한 지원이 부족합니다.,경력·성장
R0087,ORG09,1,26,3.9,4.0,3.083,3.4,2.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,업무량 워라밸 문제가 반복되고 있습니다.,업무량·소진
R0088,ORG09,1,30,0.9,3.0,4.083,3.8,3.25,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,교육·학습
R0089,ORG09,1,27,0.8,3.0,2.333,4.6,4.125,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,교육·학습
R0090,ORG10,1,32,2.9,3.333,3.0,2.2,3.438,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,공정 평가이(가) 가장 큰 문제라고 생각합니다. 회사가 부담 인력부족에 더 신경 써 주면 좋겠습니다.,보상·처우
R0091,ORG10,1,36,5.5,4.0,2.25,3.2,2.438,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"구성원 차원에서 볼 때, 스터디 자격증 연수 실습 때문에 고민이 많습니다. 피로 워라밸 스트레스에 대한 지원이 부족합니다.",교육·학습
R0092,ORG10,1,23,0.9,2.667,2.833,2.0,3.375,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"우리 차원에서 볼 때, 임금 처우 평가 관련해서 만족스러운 편입니다. 실습 과정 온라인 때문에 고민이 많습니다. 소통 코칭에 대한 지원이 부족합니다.",보상·처우
R0093,ORG10,2,26,3.2,3.333,2.5,2.8,3.562,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,직무전환 역량개발 커리어 미래 문제가 반복되고 있습니다.,경력·성장
R0094,ORG10,1,32,1.9,3.333,2.25,3.4,2.375,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"생각 차원에서 볼 때, 신뢰 리더 때문에 고민이 많습니다.",리더십·관계
R0095,ORG10,1,30,6.1,4.667,3.167,3.2,3.812,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,처우 형평성 문제가 반복되고 있습니다.,보상·처우
R0096,ORG10,1,32,5.8,3.0,2.667,2.2,2.5,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"필요 차원에서 볼 때, 경력 성장 전문성 관련해서 만족스러운 편입니다. 승급 복지 문제가 반복되고 있습니다.",경력·성장
R0097,ORG10,2,24,4.1,2.667,2.5,3.4,3.375,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,콘텐츠 강의 학습시간 관련해서 만족스러운 편입니다. 야근 업무량 워라밸 여유에 대한 지원이 부족합니다.,교육·학습
R0098,ORG10,1,34,11.0,2.333,1.75,2.4,3.125,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,신뢰 상사 동료 측면은 잘 되어 있다고 봅니다.,리더십·관계
R0100,ORG11,2,31,5.2,1.333,3.75,4.2,3.438,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,성장 승진 전문성이(가) 가장 큰 문제라고 생각합니다.,경력·성장
R0101,ORG11,1,39,2.0,4.0,3.25,3.0,2.188,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,콘텐츠 과정 교육비 학습시간 관련해서 만족스러운 편입니다.,교육·학습
R0102,ORG11,1,23,2.0,4.333,2.917,2.6,1.875,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,연봉 수당 공정 인센티브 문제가 반복되고 있습니다.,보상·처우
R0103,ORG11,2,36,1.3,2.333,2.583,3.4,2.688,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,공정 승급 평가 만족 부분에서 개선이 필요합니다.,보상·처우
R0104,ORG11,1,21,0.4,3.333,3.083,2.8,3.375,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,실습 연수 때문에 고민이 많습니다.,교육·학습
R0105,ORG11,2,27,2.1,4.667,3.083,3.2,3.125,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,번아웃 휴식 스트레스 문제가 반복되고 있습니다. 실습 콘텐츠 과정 교육 때문에 고민이 많습니다. 경력 커리어 성장 측면은 잘 되어 있다고 봅니다.,업무량·소진
R0106,ORG11,2,36,0.2,3.0,2.917,3.0,2.875,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,없음,교육·학습
R0107,ORG11,2,24,6.4,1.667,3.333,3.8,4.188,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,승급 만족 공정 형평성 측면은 잘 되어 있다고 봅니다.,보상·처우
R0108,ORG11,1,34,3.5,3.333,3.333,2.6,3.25,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,휴식 여유 스트레스 부담 부분에서 개선이 필요합니다. 회사가 신뢰 코칭 팀장 협업에 더 신경 써 주면 좋겠습니다.,업무량·소진
R0109,ORG11,2,26,0.3,3.0,3.25,3.0,2.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"구성원 차원에서 볼 때, 회사가 수당 처우에 더 신경 써 주면 좋겠습니다. 상사 분위기 동료 코칭 부분에서 개선이 필요합니다.",보상·처우
R0110,ORG11,1,31,3.5,3.333,3.0,3.0,3.938,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"우리 차원에서 볼 때, 과정 강의 측면은 잘 되어 있다고 봅니다. 피로 여유 측면은 잘 되어 있다고 봅니다.",교육·학습
R0111,ORG11,2,24,4.1,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"구성원 차원에서 볼 때, 학습 스터디 연수 문제가 반복되고 있습니다.",교육·학습
R0112,ORG11,2,26,1.4,4.0,3.583,3.4,4.25,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"조직 차원에서 볼 때, 자격증 실습 학습시간 콘텐츠 관련해서 만족스러운 편입니다. 평가 보상 때문에 고민이 많습니다.",교육·학습
R0113,ORG11,1,24,2.3,4.0,3.167,2.6,2.812,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"구성원 차원에서 볼 때, 존중 분위기 협업 부분에서 개선이 필요합니다. 실습 스터디 교육비이(가) 가장 큰 문제라고 생각합니다. 수당 인센티브 형평성 만족 부분에서 개선이 필요합니다.",리더십·관계
R0114,ORG11,2,21,2.6,3.0,3.833,3.4,3.188,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,연수 교육비 학습 때문에 고민이 많습니다.,교육·학습
R0115,ORG12,1,31,1.5,2.667,2.417,3.6,3.375,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,수당 보상 때문에 고민이 많습니다. 팀장 코칭 피드백 상사 때문에 고민이 많습니다.,보상·처우
R0116,ORG12,1,26,11.9,3.0,3.167,3.0,3.25,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,회사가 자격증 연수 스터디 강의에 더 신경 써 주면 좋겠습니다. 인센티브 수당 때문에 고민이 많습니다.,교육·학습
R0117,ORG12,2,24,2.7,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,자기계발 미래 측면은 잘 되어 있다고 봅니다. 회사가 과중 여유 번아웃에 더 신경 써 주면 좋겠습니다.,경력·성장
R0118,ORG12,2,33,3.5,2.333,3.583,3.4,2.875,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,상사 팀장 존중 분위기 부분에서 개선이 필요합니다.,리더십·관계
R0119,ORG12,2,29,2.1,3.333,3.583,2.0,2.562,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,임금 수당 관련해서 만족스러운 편입니다. 인력부족 휴식 야근 관련해서 만족스러운 편입니다. 회사가 신뢰 동료 존중에 더 신경 써 주면 좋겠습니다.,보상·처우
